acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z;label
1.06;-9.69;-12.05;-57.76;-13.56;-61.38;1
1.99;-10.29;-11.58;-56.87;-27.08;-68.88;1
2.32;-10.54;-11.27;-52.8;-34.91;-79.67;1
1.46;-10.59;-11.17;-45.87;-30.37;-87.5;1
-0.75;-10.27;-11.09;-38.94;-20.13;-85.36;1
-2.76;-9.98;-10.43;-36.34;-9.27;-74.01;1
-4.45;-9.89;-9.01;-35.95;-3.67;-57.07;1
-4.91;-9.79;-8.06;-31.25;2.96;-38.98;1
-3.78;-9.81;-8.49;-21.95;2.57;-25.46;1
-2.49;-10.01;-10.25;-14.34;-2.87;-16.08;1
-1.02;-10;-11.57;-7.69;-6.24;-8.93;1
0.63;-9.95;-12.27;-4.7;-1.67;-7.11;1
1.73;-10.26;-11.92;-3.75;10.39;-11.11;1
1.41;-11.1;-11.39;1.55;25.93;-15.02;1
0.08;-11.85;-11.43;14.65;38.12;-10.96;1
-0.99;-11.59;-12.02;26.86;43.4;-0.37;1
-2.43;-10.65;-11.84;34.05;39.73;15.88;1
-4.15;-9.64;-11.11;38.05;35.51;37.67;1
-5.31;-9.02;-9.67;43.17;32.73;61.27;1
-5.54;-9.28;-8.33;50.76;29.84;85.6;1
-4.52;-10.4;-6.56;62.44;25.39;105.15;1
-3.48;-11.83;-4.62;83.07;13.87;119.88;1
-1.39;-12.53;-6.78;100.87;11.7;124.63;1
0.62;-12.58;-9.38;103.39;24.51;115.94;1
1.9;-12.93;-11.14;93.86;47.33;103.57;1
2.39;-13.5;-12.32;80.57;66.16;97.12;1
2.35;-13.92;-12.46;70.47;63.74;100.14;1
2.44;-14.52;-12.11;63.69;48.15;101.38;1
2.55;-14.77;-11.65;65.34;40.02;102.28;1
1.95;-14.04;-11.19;76.6;18.7;105.52;1
1.24;-13.24;-11.04;86.05;-12.33;109.18;1
0.27;-13.28;-11.5;87.49;-40.37;111.37;1
-0.13;-13.58;-12.48;87.89;-53.96;114.53;1
-0.01;-13.53;-13.03;77.63;-42.91;115.68;1
-0.13;-12.71;-12.77;67.72;-29.28;114;1
1.03;-12.9;-12.99;59.56;-3.74;111.6;1
0.75;-11.52;-12.24;51.43;-13.65;100.47;1
0.62;-10.95;-11.27;44.5;-24.46;94.75;1
0.03;-10.43;-10.62;41.8;-33.89;91.73;1
-0.09;-10.01;-10.41;43.66;-40.58;89.08;1
0.02;-9.56;-10.29;45.47;-54.75;83.8;1
0.24;-8.93;-10.4;43.53;-63.46;77.34;1
0.49;-8.26;-10.53;37.99;-70.49;73.6;1
1.15;-7.76;-10.58;30.53;-72.55;68.5;1
1.02;-7.11;-10.7;21.5;-71.12;66.72;1
2.07;-6.88;-10.61;14.52;-68.3;59.68;1
2.41;-6.51;-10.72;5.14;-67.34;50.81;1
2.72;-6.21;-10.37;-2.05;-67.45;41.44;1
2.68;-5.95;-10.18;-6.44;-66.59;31.23;1
2.39;-5.64;-9.84;-9.74;-65.15;20.82;1
2.04;-5.32;-9.43;-11.6;-63.2;9.35;1
1.56;-5.24;-9;-12.73;-59.52;-1.21;1
0.99;-4.97;-8.53;-13.47;-55.83;-9.84;1
0.54;-4.74;-8.29;-16.59;-55.34;-17.3;1
0.02;-4.85;-8.23;-24.54;-58.49;-24.69;1
-0.57;-5.29;-7.8;-36.22;-61.34;-31.72;1
-1.62;-6.17;-6.45;-45.27;-63.68;-37.63;1
-3.03;-7.05;-5.4;-48.57;-64.43;-42.25;1
-4.66;-7.75;-4.69;-50.02;-61.65;-44.52;1
-6.2;-8.82;-4.35;-50.21;-52.73;-42.93;1
-7.26;-10.03;-4.15;-47.84;-32.52;-37.79;1
-7.93;-11.41;-3.91;-42.74;-10.94;-29.51;1
-7.89;-11.97;-4.59;-35.75;12.01;-22.62;1
-8.21;-11.82;-6.26;-26.24;33.28;-9.77;1
-7.21;-10.27;-8.02;-19.59;45.9;2.12;1
-6.22;-8.44;-9.48;-15.02;60.89;12.92;1
-5.36;-7.05;-10.87;-12.79;80.09;22.73;1
-3.63;-6.11;-12.16;-17.52;77.39;34.56;1
-0.27;-6.11;-13.01;-36.18;48.67;40;1
2.06;-8.56;-11.1;-64.82;12.54;27.37;1
0.53;-16.89;-1.47;-60.17;7.87;13.99;1
-3.89;-19.55;3.69;45.74;2.91;16.13;1
-4.16;-17.66;-5.1;106.59;-32.95;18.59;1
-3.11;-9.22;-11.14;84.93;-27.1;54.75;1
1.92;-3.57;-13.54;21.92;-11.62;77.16;1
5.8;-0.79;-11.65;-13.64;-12.76;74.24;1
7.72;0.81;-9.12;-13.17;4.38;48.22;1
6.23;-0.43;-11.25;8.53;37.58;12.43;1
2.62;-2.15;-13.06;7.64;68.82;-7.56;1
1.01;-5.15;-13.36;-11.94;91.71;-21.12;1
-1.12;-9.22;-12.52;-22.77;101.32;-33.79;1
