acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z;label
4.23;-5.06;-7.9;40.69;-123.32;26.66;0
3.89;-4.31;-9.12;47.71;-123.75;7.9;0
3.41;-3.92;-9.76;46.21;-120.83;-8.37;0
3.15;-3.8;-10.21;39.69;-131.22;-23.93;0
2.36;-4.15;-10.88;27.69;-143.12;-40.27;0
1.21;-4.9;-11.52;11.48;-145.12;-58.16;0
0.09;-6.14;-12.07;-12.97;-124.6;-72.24;0
-0.26;-8.03;-12.2;-40.55;-69.8;-78.73;0
-1.01;-9.53;-9.85;-68.26;8.56;-84.59;0
-4.18;-11.17;-6.67;-89.13;78.88;-97.12;0
-11.2;-13.9;-4.87;-94.62;129.46;-109.5;0
-20.31;-17.67;-4.39;-88.42;116.88;-107.17;0
-20.31;-18.77;-3;-76.38;63.19;-67.86;0
-18.46;-12.92;-2.95;-47.06;59.08;-29.62;0
-10.31;-6.4;-5.29;-1.02;57.77;15.44;0
-5.11;-2.51;-6.95;41.91;0.36;57.61;0
-0.52;-1.62;-8.16;63.43;-97.93;85.02;0
4.08;-6.32;-10.85;42.06;-185.76;97.64;0
7.92;-19.67;-15;-17.84;-204.14;62.05;0
10.22;-19.67;-16.18;-105.47;-176.06;-48.16;0
6.85;-19.67;-13.91;-151.89;-43.66;-81.73;0
2.17;-11.77;-7.54;-130.73;79.26;-28.07;0
5.41;-4.56;-6.38;-56.69;100.37;39.22;0
9.63;-3.16;-11.15;52.9;129.62;73.77;0
10.54;-5.77;-12.43;136.01;170.11;71.21;0
8.25;-8.05;-13.24;151.17;142.15;19.43;0
7.55;-6.65;-16.42;127.94;53.59;-59.51;0
6.05;-6.71;-19.83;76.42;-85.64;-137.08;0
1.07;-10.3;-22.71;-26.33;-156.48;-179.26;0
-7.16;-12.26;-21.83;-142.66;-134.09;-169.78;0
-11.89;-9.22;-17.95;-226.01;-11.99;-124.24;0
-10.07;-8.16;-12.79;-249.67;65.74;-65.32;0
-4.51;-10.95;-6.56;-249.67;82.66;-30.46;0
-2.26;-11.86;-2.89;-240.43;73.43;-16.46;0
1.25;-11.7;0.89;-150.21;44.46;-13.3;0
4.04;-11.9;-1.46;-10.02;39.1;-9.02;0
3.9;-10.88;-6.7;88.7;61.11;0.34;0
3.03;-10;-10.45;125.81;99.37;1.65;0
2.96;-9.9;-13.71;105.92;134.69;-19.26;0
2.43;-8.89;-15.37;64.69;144.49;-41.93;0
1.28;-9.23;-16.31;15.6;122.31;-63.52;0
-0.47;-9.72;-16.18;-31.35;90.72;-82.95;0
-2.55;-10.14;-14.88;-63.35;69.28;-89.81;0
-3.74;-10.5;-13.32;-80.67;51.75;-87.49;0
-4.63;-10.3;-11.36;-96.66;29.94;-80.64;0
-5.19;-10.2;-9.89;-111.99;18.98;-72.53;0
-5.7;-10.16;-7.96;-115.42;32.06;-59.85;0
-4.83;-10.12;-4.82;-89.16;37.15;-43.26;0
-2.68;-10.39;-4.6;-21.55;-1.14;-39.54;0
-1.07;-10.49;-8.65;36.64;8.81;-49.2;0
-0.84;-10.62;-9.68;44.08;34.79;-48.98;0
