acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z;label
-1.06;-9.18;-8.86;-3.08;-18.46;-12.29;0
-0.9;-9.24;-8.53;-2.89;-17.91;-13.4;0
-0.91;-9.35;-8.41;-1.25;-15.47;-12.91;0
-0.77;-9.31;-8.34;0.83;-12.15;-11.43;0
-0.88;-9.27;-8.32;1.51;-7.86;-10.04;0
-1.03;-9.3;-8.37;1.05;-4.96;-8.1;0
-1.2;-9.42;-8.49;-0.37;-3.42;-6.83;0
-1.12;-9.4;-8.6;-1.85;-1.49;-7.46;0
-1.09;-9.56;-8.44;-1.9;-1.6;-7.9;0
-1.23;-9.73;-8.29;-1.15;-3.54;-7.92;0
-1.31;-9.72;-8.37;-0.5;-4.36;-7.93;0
-1.25;-9.39;-8.67;-0.45;-4.36;-7.77;0
-1.05;-9.28;-8.68;-0.13;-4.55;-8.14;0
-0.84;-9.49;-8.52;0.49;-4.17;-7.32;0
-0.8;-9.6;-8.32;0.56;-3.78;-7.88;0
-0.82;-9.6;-8.35;1.14;-2.04;-9.81;0
-0.99;-9.55;-8.56;0.45;-1.13;-10.75;0
-1.19;-9.46;-8.63;-0.93;-0.97;-10.11;0
-1.15;-9.45;-8.6;-0.83;0.19;-9.34;0
-1.02;-9.36;-8.54;0.07;2.54;-8.48;0
-0.91;-9.24;-8.48;0.55;4.43;-6.98;0
-0.81;-9.25;-8.42;0.73;4.91;-5.81;0
-0.72;-9.39;-8.44;-0.32;7.38;-4.5;0
-0.82;-9.5;-8.38;-0.81;9.98;-4.53;0
-0.95;-9.5;-8.57;0;11.73;-4.87;0
-1.14;-9.59;-8.53;0.21;11.96;-4.98;0
-1.38;-9.56;-8.67;0.34;10.57;-4.92;0
-1.36;-9.61;-8.66;0.36;8.21;-4.46;0
-1.27;-9.33;-8.64;-0.69;6.2;-4.95;0
-1.15;-9.31;-8.61;-2.46;4.24;-5.24;0
-1.2;-9.51;-8.52;-2.49;1.61;-5.14;0
-1.28;-9.69;-8.6;-0.48;-0.55;-5.53;0
-1.32;-9.73;-8.72;0.69;-2.76;-6.4;0
-1.39;-9.52;-8.78;0.01;-6.17;-6.66;0
-1.37;-9.43;-8.68;-1.53;-9.91;-6.84;0
-1.24;-9.47;-8.39;-2.66;-11.8;-6.28;0
-0.94;-9.5;-8.43;-1.67;-11.14;-6.53;0
-0.84;-9.46;-8.7;0.18;-9.57;-6.66;0
-0.79;-9.52;-8.77;0.93;-8.29;-6.44;0
-0.85;-9.59;-8.83;0.23;-6.73;-6.25;0
-0.9;-9.52;-8.64;-1.05;-4.82;-6.1;0
-0.8;-9.46;-8.36;-2.04;-3.75;-5.44;0
-0.82;-9.61;-8.34;-0.87;-2.36;-4.71;0
-0.74;-9.66;-8.45;0.69;-0.57;-4.25;0
-0.77;-9.58;-8.64;1.66;-0.62;-4.37;0
-0.88;-9.53;-8.87;1.38;-1.82;-4.95;0
-0.96;-9.48;-8.79;0.14;-2.58;-5.11;0
