acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z;label
-0.96;-10.35;-6.46;-32.44;-2.13;44.66;2
-0.16;-9.98;-6.49;-23.57;-1.67;30.54;2
0.53;-9.4;-6.67;-17.79;-1.97;13.18;2
0.94;-8.97;-7.11;-18.37;1.22;-1.25;2
0.92;-8.62;-7.71;-22.66;1.76;-12.09;2
0.48;-8.56;-8.08;-27.91;-3.71;-21.04;2
-0.37;-8.91;-7.87;-29.51;-10.1;-30.33;2
-1.41;-9.08;-7.55;-25.06;-17.78;-39.95;2
-2.68;-8.87;-7.49;-18.03;-28.93;-47.3;2
-4.02;-8.26;-7.96;-12.25;-36.9;-50.47;2
-4.64;-7.63;-8.93;-11.17;-35.01;-50.59;2
-4.79;-7.39;-9.64;-13.73;-27.1;-48.55;2
-4.3;-7.41;-9.9;-17.96;-19.04;-45.69;2
-3.25;-7.63;-9.71;-21.75;-13.19;-42.92;2
-1.96;-7.92;-9.66;-23.92;-6.21;-43.23;2
-0.98;-8.17;-9.85;-26.35;3.06;-46.59;2
-0.49;-8.04;-10.14;-30.18;14;-52.14;2
-0.94;-7.98;-10.46;-32.28;23.55;-56.75;2
-2.08;-8.22;-10.41;-32.34;32.57;-60.85;2
-3.74;-8.78;-9.64;-29.87;31.54;-62.64;2
-4.83;-8.88;-8.76;-26.7;31.25;-59.6;2
-5.03;-8.73;-8.04;-24.95;35.81;-54.85;2
-4.21;-9.29;-7.44;-25.15;31.82;-48.74;2
-3.17;-10.81;-7.66;-26.29;22.76;-42.93;2
-2.24;-12.03;-7.54;-20.95;27.48;-40.73;2
-2.29;-12.64;-8.45;-14.01;46.34;-39.21;2
-3.89;-12.36;-10.38;-9.2;56.67;-38.62;2
-7.02;-10.47;-12.61;-15.41;22.62;-35.23;2
-8.8;-8.85;-11.3;-32.74;-28.23;-26.79;2
-7.68;-8.72;-7.78;-33.67;-59.01;-16.67;2
-3.6;-9.38;-6.45;-20.37;-70.53;-9.67;2
0.76;-9.77;-7.17;-10.5;-64.27;-8.72;2
3.15;-9.76;-8.2;-3.18;-45.47;-14.83;2
3.43;-9.83;-9.86;0;-20.27;-25.67;2
1.78;-9.51;-12.04;-3.73;3.47;-33.17;2
-0.04;-8.74;-12.38;-12.44;16.54;-37.42;2
-1.42;-8.77;-10.71;-18.3;11.48;-37.47;2
-2.88;-9.16;-9.47;-14.22;-6.23;-33.8;2
-4.25;-8.76;-10.12;-10.93;-21.2;-24.8;2
-3.96;-8.08;-11.41;-13.91;-34.62;-15.8;2
-2.58;-8.4;-12;-21.46;-42.55;-8.71;2
-1.15;-9.4;-11.05;-23.44;-42.44;-5.07;2
-0.51;-10.13;-10.69;-18.51;-37.89;-4.18;2
-0.75;-9.93;-11.17;-15.36;-33.11;-3.97;2
-1.3;-9.63;-11.82;-14.9;-31.94;-2.98;2
-1.66;-9.39;-12.5;-15.59;-35.78;-1.58;2
-1.31;-9.33;-12.66;-18.22;-39.01;-0.29;2
-1.02;-9.49;-12.53;-19.11;-38.09;1.41;2
-0.63;-9.59;-12.04;-17.8;-36.65;2.31;2
-0.28;-9.53;-12.14;-16.02;-33.89;2.41;2
-0.3;-9.7;-12.3;-16.54;-30.89;1.73;2
-0.71;-10.02;-12.44;-17.2;-28.81;1.27;2
-1.01;-10.1;-12.11;-17.73;-28.86;1.77;2
