5.33;-9.08;0.3;-62.13;-9.37;103.2;22.1;-1.5;7.34;35.69;242.6;393.69;-6.7;-26.49;-6.31;-160.81;-273.73;-232.39;8.01;5.05;4.01;62.05;145.4;218.91
2.34;-11.8;-0.59;21.1;18.85;-119.39;27.37;3.49;3.92;62.9;135.45;-31.16;-16.27;-30.1;-5.82;-26.67;-220.92;-267.74;10.83;6.8;2.19;27.06;97.61;80.53
5.82;-9.16;0.27;-39.95;-29.87;71.07;18.3;-1.91;10.82;52.49;267.21;382;-10.79;-34.66;-13.47;-149.4;-257.88;-286.68;7.08;7.15;4.73;58.96;125.94;228.43
2.02;-11.28;-1.22;18.87;24.69;-111.87;23;3.34;7.95;64.38;151.9;-27.55;-13.55;-22.32;-6.16;-32.51;-164.45;-259.58;10.44;6.48;2.3;28.91;74.23;77.1
6.47;-8.12;0.57;-56.46;-22.38;111.6;19.79;-2.42;6.79;32.17;170.3;402.5;-2.87;-19.76;-14.95;-151.79;-275.23;-257.92;5.22;4.43;5.11;60.95;121.52;217.2
2.34;-12.44;-0.49;11.98;17.31;-128.32;24.07;2.67;8.56;52.29;123.18;-40.02;-16.28;-24.49;-3.69;-34.52;-169.18;-264.9;11.01;6.41;2.8;25.06;88.27;81.06
6.2;-9.51;0.43;-45.22;-26.04;106.61;19.61;-3.02;5.15;35.07;163.79;398.21;-3.47;-27.54;-14.39;-140.63;-241.55;-284.91;6.27;5.81;4.96;56.16;108.18;227.16
2.56;-11.14;-0.24;8.46;20.48;-116.08;25.3;3.25;5.12;50.81;117.36;-16.82;-13.58;-20.63;-5.86;-32.55;-200.39;-262.46;9.85;6.2;1.92;26.23;78.23;87.15
6.67;-8.48;1.05;-47.57;-19.46;113.65;17.8;1;6.63;22.2;129.47;406.46;-1.68;-18.89;-5.69;-153.52;-178.19;-257.68;5.44;5.76;3.52;55.53;81.02;220.29
2.15;-11.98;-0.89;15.91;21.45;-119.79;20.9;0.77;4.61;62.23;120.33;-32.67;-15.11;-21.89;-6.93;-31.69;-136.14;-245.13;9.63;5.3;2.37;26.04;69.42;78.27
5.8;-8.6;1.26;-60.19;-26.15;106.15;13.73;-1.75;7.49;17.06;93.73;384.93;-5.47;-24.54;-6.95;-166.05;-234.91;-248.76;4.4;5.63;3.75;62.21;95.78;214.77
2.51;-11.99;-0.93;13.82;26.97;-123.57;35.06;1.81;7.46;49.06;146.71;-33.59;-16.43;-23.42;-7.87;-28.19;-257.7;-260.08;12.05;6.05;3.03;24.07;100.97;79.23
6.06;-7.88;1.18;-56.6;-18.01;119.64;15.57;-0.4;6.83;27.09;140.43;394.04;-3.79;-18.14;-8.48;-150.08;-246.71;-210.37;6;4.96;3.2;60.88;105.23;213.36
1.99;-12.64;-0.68;18.53;8.36;-125.94;26.63;1.22;6.61;59.8;156.66;-37.19;-16.37;-28.73;-4.19;-24.11;-219.22;-264.98;10.95;6.54;2.15;24.5;99.64;77.37
6.45;-8.36;0.45;-52.99;-26.85;102.36;19.36;1.27;6.46;29.54;221.21;391.6;-5.73;-24.24;-10.38;-148.46;-226.77;-259.88;6.96;6.04;4.51;63.82;128.26;217.44
2.04;-11.92;-0.66;14.57;20.29;-121.29;29.19;0.7;8.11;53.58;131.71;-23.38;-14.99;-23.69;-6.61;-27.64;-206.58;-256.89;11.13;5.35;2.88;25.09;83.66;83.38
6.06;-8.18;0.85;-52.27;-17.14;115.87;16.59;-1.05;6.67;30.23;127.4;420.36;-3.05;-20.09;-7.28;-148.75;-231.46;-233.63;5.63;5.59;3.46;56.63;101.21;226.3
1.88;-12.59;-0.57;15.18;24.23;-128.06;25.42;2.38;3.79;65.4;138.37;-36.92;-14.47;-28.43;-7.14;-28.42;-187.28;-261.41;10.48;6.38;2.21;28.07;81.94;81.07
6.46;-7.65;0.19;-47.37;-18.95;127.56;21.24;0.03;6.68;23.06;175;425.72;-8.8;-21.45;-7.93;-135.15;-244.62;-261.01;7.7;5.97;3.79;50.46;125.92;228.6
2.04;-12.33;-0.58;15.6;7.88;-128.44;27.15;1.45;5.94;57.21;104.14;-25.25;-15.76;-24.66;-6.85;-29.77;-225.76;-260.61;11.38;6.34;2.84;25.05;86.72;82.13
6.77;-8.48;0.27;-47.08;-27.66;111.54;24.38;-0.44;6.23;22.81;166.49;421.91;-9.23;-21.42;-14.17;-134.66;-214.27;-316.05;7.01;5.73;5.09;51.12;111.91;238.86
2.13;-11.37;-0.25;15.26;15.5;-113.21;24.03;-1.81;11.59;48.56;112.11;-10.6;-13.9;-21.84;-4.58;-28.11;-190.21;-252.63;10.67;5.34;3.23;25.23;73.49;86.53
