=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.02 16:38:52 =~=~=~=~=~=~=~=~=~=~=~=
f~f~xxxx~`~ff~fff`ff`~fxff`ff`f`fxf~f~fff~fxfffx~fx~`fx~fx~`fx~~fx~`fx`xx~xxxxxxfxfxxfxxxf`f2.35;-11.92;-0.27;-35.95;17.37;-86.63;23.98;0.00;6.00;3.09;126.92;0.00;-11.56;-20.86;-9.66;-110.64;-196.18;-238.35;9.48;5.45;4.56;28.96;81.47;46.69;
6.70;-7.65;-3.75;39.65;-8.53;59.12;18.39;2.66;2.17;182.74;277.68;316.80;-1.56;-17.74;-9.55;-121.08;-155.62;-218.49;6.43;5.24;3.17;88.39;117.10;176.91;
0.92;-12.31;0.30;-39.08;16.69;-99.20;19.31;-2.23;6.14;1.86;119.13;-29.03;-12.76;-20.10;-10.79;-86.02;-158.39;-179.01;9.39;5.64;4.55;22.27;74.56;41.98;
8.56;-7.25;-4.33;62.28;8.79;94.25;18.94;1.82;7.54;200.94;256.90;316.54;-4.36;-15.09;-9.47;-128.56;-140.91;-285.52;6.01;4.41;3.67;101.06;118.37;183.97;
1.84;-12.26;-0.24;-25.35;9.28;-92.48;19.59;-3.56;6.72;7.89;102.91;-33.65;-12.23;-21.61;-10.11;-85.10;-168.98;-175.75;9.40;5.28;4.71;28.90;67.66;52.08;
7.00;-7.39;-3.29;37.53;-1.07;63.31;19.43;1.93;5.59;195.54;268.74;337.53;-6.28;-16.51;-8.43;-115.52;-141.60;-265.98;6.95;5.10;3.50;95.55;106.43;185.30;
1.80;-12.11;0.08;-28.62;7.88;-95.98;18.62;-2.26;5.09;8.35;97.45;-27.63;-11.46;-20.59;-9.83;-72.29;-197.10;-177.59;9.44;5.38;4.47;22.57;74.87;47.88;
7.47;-7.65;-3.78;42.41;1.88;76.55;21.73;4.21;6.11;199.45;303.60;373.85;-5.35;-16.80;-10.62;-133.15;-124.43;-263.77;7.11;5.43;3.97;100.90;115.59;207.71;
2.77;-12.10;-0.07;-25.86;5.51;-94.89;19.85;-3.17;7.85;8.37;122.83;-50.68;-12.66;-20.45;-6.35;-63.77;-139.73;-182.09;8.80;5.47;3.75;22.27;66.41;36.47;
6.85;-7.70;-3.46;34.44;-9.41;68.39;17.52;2.89;4.11;182.21;277.17;350.08;-5.45;-20.07;-8.16;-158.55;-137.27;-253.89;6.72;5.70;3.70;95.79;105.22;192.78;
1.95;-11.58;0.07;-29.76;16.18;-92.03;19.80;-4.10;9.04;3.65;149.84;-25.53;-9.75;-20.53;-8.67;-75.16;-138.65;-170.71;8.57;5.34;4.80;24.40;83.50;44.39;
7.72;-7.72;-4.69;55.37;1.07;86.75;21.68;2.13;6.44;237.76;255.62;342.76;-8.47;-18.62;-11.24;-148.90;-154.39;-263.34;7.55;5.59;3.50;106.55;116.26;194.55;
2.11;-12.46;-0.32;-33.24;15.39;-96.58;25.01;-0.51;12.59;5.06;112.41;-39.04;-14.95;-20.92;-7.90;-82.14;-223.57;-192.20;10.97;6.10;5.32;27.50;89.06;44.66;
7.37;-7.63;-3.62;44.05;0.94;68.31;24.63;0.96;9.80;200.52;354.60;337.40;-9.52;-19.52;-11.63;-129.05;-166.85;-286.17;8.58;4.38;5.16;99.93;140.25;194.48;
