label;gyro_z_avg;gyro_x_avg;acc_y_stdev;gyro_z_stdev;gyro_x_stdev;acc_x_min;acc_z_min;gyro_z_min;gyro_x_min;acc_z_max;gyro_z_max;acc_x_max;acc_y_avg;gyro_x_max;gyro_y_avg;gyro_y_stdev;acc_z_stdev;acc_x_stdev;gyro_y_min;acc_y_min;gyro_y_max;acc_y_max;acc_x_avg;acc_z_avg;stride_check
1;-96.29;26.91;2.93;42.35;20.03;-14.9;-7.23;-205.9;2.33;5.76;-45.64;10.73;-11.29;86.05;20.89;48.68;2.39;5.54;-152.03;-16.94;90.46;-4.59;1.14;0.56;1
1;96.17;-37.99;5.13;173.78;75.44;-14.81;-6.96;-254.22;-136.89;6.31;310;15.61;-9.23;85;-15.68;89.83;3.33;5.91;-166.62;-19.15;133.34;-0.4;4.07;1.19;1
1;-97.92;19.18;2.64;50.4;17.77;-13.12;-2.16;-216.56;-7.39;5.43;-44.69;22.05;-11.08;53.23;24.64;64.46;1.54;7.68;-168.68;-15.39;122.66;-5.99;1.61;0.4;1
1;80.72;-40.02;6.16;175.96;85.8;-10.22;-14.34;-253.65;-175.74;7.94;308.35;17.99;-9.7;106.33;-23.81;116.27;5.24;7.93;-225.61;-26.68;146.2;0.81;3.62;0.38;1
1;-98.82;20.65;4.81;51.82;28.76;-13.22;-10.81;-217;-11.21;6.19;-45.05;17.38;-11.65;103.32;19.2;67.07;3.11;6.89;-241.67;-25.84;86.34;-3.17;1.25;0.56;1
1;94.97;-49.13;5.84;181.6;82.91;-10.98;-8.92;-248.72;-155.47;5.67;328.02;15.5;-9.33;111.09;-10.42;89.84;3.52;6.39;-179.94;-25.88;131.43;-0.12;4.32;1.24;1
1;-100.16;22.98;3.54;56.67;21.36;-10.27;-3.07;-234.22;-5.86;7.93;-41.52;17.52;-11.28;66.96;21.28;60.13;2.55;7.17;-171.87;-21.3;95.59;-2.07;1.71;0.74;1
1;84.28;-46.34;6.5;173.43;86.7;-8.74;-10.71;-237.74;-163.17;7.65;310.37;14.93;-9.95;108.32;-15.48;108.39;4.45;6.48;-233.02;-30.9;115.55;-0.76;3.9;0.83;1
1;-106.12;28.79;4.74;53.07;24.65;-12.6;-6.28;-212.28;-0.33;9.77;-46.11;17.87;-11.48;85.6;22.22;57.17;2.71;7.37;-152.11;-29.09;71.93;-0.87;0.95;0.66;1
1;101.39;-42.46;6.51;202.74;83.57;-13.21;-10.24;-315.16;-174.31;6.03;359.13;14.81;-11.2;109.2;-17.25;105.79;4.31;7.65;-198.01;-28.64;200.7;-1.31;3.83;0.8;1
1;-103.15;29.51;4.81;59.21;19.88;-14.63;-9.4;-235.36;3.27;5.66;-34.92;22.43;-10.77;76.25;7.99;54.8;2.93;7.98;-163.04;-19.41;64.93;0.1;1.81;0.54;1
1;101.26;-45.6;6.11;194.18;78.5;-9.84;-11.82;-300.44;-155.42;6.43;358.22;25.71;-10.63;95.25;-21.33;78.52;5.02;7.13;-162.82;-25.13;76.09;-2.41;5.05;1.42;1
1;-92.72;21.71;3.54;53.52;27.35;-13.13;-2.4;-188.1;-5.69;8.58;-39.94;23.33;-11.48;90.06;20.88;40.74;2.63;7.59;-92.64;-19.17;92.9;-4.67;0.43;0.67;1
1;70.72;-48.24;6.19;198.74;90.65;-9.95;-10.2;-241.72;-177.91;7.28;358.19;18.77;-10.05;87.04;-6.57;88.45;4.19;6.67;-200.01;-30.62;156.23;-0.91;3.1;1.22;1
1;-111.53;39.27;4.93;63.29;30.42;-14.29;-10.49;-238.18;0.88;8.03;-32.32;17.04;-12.14;102.51;26.71;52.47;3.78;8.33;-142.74;-29.59;136.58;1.38;0.38;-0.5;1
1;114.49;-68.35;5.33;179.31;74.07;-3.91;-6.72;-276.7;-168.92;5.51;311.33;19.45;-9.37;60.33;-33.77;100.74;3.34;6.37;-226.98;-23.14;133.47;-2.07;5.13;1.94;1
1;-98.31;31.97;3.03;44.96;25.09;-9.45;-5.17;-202.98;2.43;7.38;-51.87;17.98;-11.02;75.72;8.72;39.13;2.05;6.53;-128.69;-18.45;51.87;-3.57;0.45;0.48;1
1;85.26;-54.46;6.48;195.3;94.73;-7.87;-10.48;-309.6;-209.27;7.98;350.2;17.27;-10.32;112.82;-16.35;116.23;4.56;6.79;-209.92;-27.58;173.94;-0.68;3.81;1.07;1
1;-99.19;27.22;4.63;64.56;24.05;-10.47;-7.1;-245.82;-5.7;10.19;-38.13;21.44;-10.93;68.45;19.73;51.66;3.2;7.23;-134.96;-21.46;76.06;-0.26;1.53;0.61;1
1;84.13;-52.92;6.79;193.79;88.77;-9.38;-10.89;-316.82;-185.74;6.11;346.86;16.82;-10.74;100.56;-20.06;87.26;4.28;5.92;-204.25;-29.22;118.25;-0.51;3.46;1.17;1
1;-104.21;24.76;4.37;60.13;25.56;-14.6;-5.37;-249.55;-9.21;7.11;-47.85;20.49;-10.76;80.13;4.51;62.22;2.97;7.96;-157.75;-18.9;78.83;-0.44;2.01;0.86;1
1;75.7;-49.33;6.29;203.28;94.23;-7.91;-10.51;-349.78;-184.88;7.56;352.66;29.12;-10.79;113.51;-9.17;88.66;4.51;7.82;-200.59;-25.93;156.32;-1.27;5.04;1.6;1
1;-98.27;28.92;4.93;64.1;29.05;-16.23;-9.38;-226.61;-7.73;6.02;-38.86;15.95;-11.4;93.52;18.18;62.89;3.6;8.61;-111.39;-18.67;95.5;2.05;1.02;0.23;1
1;101.87;-65.99;6.09;189.81;92.47;-9.24;-5.49;-286.08;-206.65;6.75;338.6;21.59;-9.79;105.69;-10.45;98.66;3.23;6.73;-180.09;-23.72;152.19;0.85;5.05;2.39;1
1;-101.08;34.37;4.37;65.42;21.39;-13.42;-6.33;-230.42;4.69;8.88;-39.32;19.21;-11.41;70.59;13.17;51.3;3.02;8.43;-133.92;-22.29;58.96;-0.51;0.75;0.42;1
1;86.12;-51.07;6.75;195.09;96.33;-10.26;-9.99;-255.38;-190.7;6.26;347.29;15.89;-10.17;116.24;-7.14;99.4;4.25;6.14;-237.33;-31.76;156.91;0.23;4.2;1.37;1
1;-102.72;36.35;4.68;47.03;19.98;-11.31;-4.2;-212.44;6.27;7.89;-58.04;19.81;-11.35;85.19;8.64;64.3;2.54;7.5;-179.43;-29.52;58.72;-1.03;1.34;0.8;1
1;81.9;-43.33;6.37;186.13;86.96;-13.05;-8.67;-300.23;-169.05;8.83;331.24;22.77;-10.75;99.93;-13.22;85.33;4.43;7.3;-175.53;-29.71;136.41;-0.62;4.41;1.34;1
1;-106.87;30.19;4.28;52.24;24.5;-10.51;-8.98;-227.29;0.24;6.5;-44.7;15.98;-11.33;93.59;15.36;60.45;3.02;7.71;-159.72;-15.51;109.93;-0.11;1.66;0.15;1
1;100.89;-49.37;7.2;193.61;78.48;-13.56;-10.82;-276.78;-152.78;7.71;336.96;15.38;-9.86;82.49;-8.85;71.79;4.15;5.27;-162.25;-28.68;108.07;0.4;5.17;1.68;1
1;-109.76;22.98;4.42;49.26;22.84;-13.37;-6.43;-215.89;-4.61;7.75;-58.31;23.79;-11.47;88.83;15.36;73.36;2.53;8.67;-210.88;-20.24;85.78;-0.27;1.79;0.71;1
1;86.64;-48.37;6.08;195.36;88.4;-10.39;-9.39;-309.39;-177.66;7.2;329.92;18.2;-10.28;97.13;-11.76;107.53;4.22;7.18;-219.47;-29.59;156.53;-1.47;4.1;1.28;1
1;-100.79;32.8;5.01;53.18;26.7;-14.39;-8.44;-230.03;-3.31;7.61;-45.49;26.58;-11.2;92.54;14.25;69.25;2.6;9.38;-209.14;-22.46;76.21;1.48;1.12;0.27;1
1;85.4;-55.6;6.74;201.61;95.35;-10.11;-9.2;-322.49;-186.9;6.63;336.97;17.05;-10.51;111.35;-9.96;84.33;3.79;6.36;-170.64;-29.25;147.99;-1.38;4.14;1.7;1
1;-110.66;32.13;5.1;59.11;30.37;-13.27;-7.87;-237.57;-6.79;7.07;-57.51;32.4;-11.52;109.22;16.63;83.11;3.15;10.58;-254.82;-19.41;126.28;1.2;1.89;0.31;1
1;99.32;-58.89;7.05;199.24;92.4;-10.64;-6.71;-324.6;-204.09;6.75;336.25;19.25;-9.86;105;-13.93;84.87;3.32;7.08;-162.5;-25.8;122.02;1.11;4.52;1.6;1
1;-104.29;32.16;3.65;58.71;24.25;-15.09;-3.37;-220.63;-7.88;11.71;-47;27.66;-11.47;76.72;16.7;54.26;3.01;9.63;-103.41;-18.44;75.51;-2.4;0.81;0.47;1
1;102.57;-46.82;6.9;206.64;84.06;-7.35;-8.59;-287.46;-174.35;5.86;369.55;13.94;-11.33;109.86;-20.42;79.9;3.82;5.41;-212.83;-26.44;92.68;-1.64;3.72;1;1
