label;gyro_z_avg;gyro_x_avg;acc_y_stdev;gyro_z_stdev;gyro_x_stdev;acc_x_min;acc_z_min;gyro_z_min;gyro_x_min;acc_z_max;gyro_z_max;acc_x_max;acc_y_avg;gyro_x_max;gyro_y_avg;gyro_y_stdev;acc_z_stdev;acc_x_stdev;gyro_y_min;acc_y_min;gyro_y_max;acc_y_max;acc_x_avg;acc_z_avg;stride_check
2;-128.83;53.22;6.76;112.18;52.18;-13.05;-5.72;-297.03;-13.51;35.16;25.08;34.19;-12.27;151.1;38.72;96.9;8.24;10.78;-274.43;-28.04;143.73;4.86;1.17;0.87;1
2;114.91;-55.79;6.92;227.42;96.49;-5.28;-27.51;-340.93;-178.61;8.98;421.29;21.45;-5.49;114.38;-28.73;108.73;6.97;6.33;-241.84;-22.65;178.13;6.69;7.41;1.06;1
2;-71.34;34.08;6.67;90.66;30.45;-14.14;-6.11;-225.42;-4.36;29.05;62.01;33.91;-11.23;85.66;30.55;85.3;7.66;10.86;-204.98;-24.54;133.99;-2.06;0.99;1.09;1
2;55.58;-34.73;5.69;209.8;91.14;-3.16;-30.16;-393.67;-151.52;9.61;328.64;25.29;-8.17;122.46;-18.17;52.41;7.32;5.78;-174.2;-28.44;62.2;-1.09;6.5;0.91;1
2;-99.91;51.61;5.54;134.8;50.84;-16.79;-12.09;-307.31;-8.23;32.51;84.16;35.35;-11.4;155.01;27.26;117.91;8.87;11.62;-267.08;-21.07;148.26;-0.23;1.18;0.33;1
2;92.96;-27.27;9.58;269.86;107.19;-13;-23.14;-322.86;-202.77;8.18;452.49;20.94;-7.69;154.65;-28.43;124.28;7.31;8.53;-296.64;-36.03;235.57;5.26;5.99;0.27;1
2;-93.67;34.07;7.55;116.55;47.81;-13.87;-10.28;-264.1;-22.65;16.53;80.37;25.1;-9.88;127.22;39.1;91.04;5.34;10.41;-175.55;-21.88;172.23;5.04;0.93;0.07;1
2;86.41;-42.94;6.6;221.68;94.96;-8.84;-15.24;-384.03;-173.34;10.31;357.79;24.06;-9.24;129.08;-21.93;78.87;6.64;7.1;-150.52;-30.41;183.97;1.35;6.48;1.12;1
2;-127.48;52.67;6.71;140.62;56.05;-12.88;-7.97;-344.74;-7.98;16.88;60.11;23.86;-11.71;152.99;35.78;78.84;5.29;10.37;-165.17;-24.15;137.82;5.09;2.28;0;1
2;101.89;-37.45;9.27;258.59;112.24;-2.79;-25.12;-359.88;-190.53;14.56;439.27;19.82;-6.79;144.72;-27.15;93.63;7.67;5.41;-186.74;-34.38;160.96;8.82;5.94;1.44;1
2;-90.53;37.68;8.39;100;42.79;-17.21;-5.78;-228.26;-14.53;24.55;46.04;27.41;-10.39;123.06;33.77;74.5;5.63;10.99;-163.56;-26.31;147.96;3.78;1.5;0.52;1
2;71.39;-31.31;4.82;203.94;76.98;-2.36;-27.27;-314.9;-134.08;7.81;339.76;20.92;-7.81;123.46;-19.96;77.09;6.53;5.19;-239.8;-26.24;102.95;-1.94;7.19;0.92;1
2;-89.55;41.51;6.91;96.77;38.93;-15.11;-5.97;-232.36;-8.59;30.41;50.3;35.43;-11.18;123.79;42.22;87.63;7.73;11.4;-172.53;-22.3;146.81;-0.14;0.85;0.42;1
2;85.57;-46.45;7.17;215.58;90.75;-1.67;-28.41;-370.39;-175.5;8.85;353.62;18.03;-8.66;112.89;-22.52;70.75;7.29;4.84;-141.55;-35.24;130.11;-0.36;6.51;1.28;1
2;-77.79;43.82;7.34;124.07;48.42;-11.66;-9.75;-276.37;-8.88;25.72;92.35;25.15;-10.45;128.66;36.69;100.12;7.07;10.41;-159.09;-22.44;166.54;2.67;2.05;1.04;1
2;60.07;-29.28;7.12;248.65;115.19;-9.87;-21.12;-335.23;-175.38;12.79;411.96;22.85;-8.33;151.31;-21.12;101.74;6.17;7.58;-240.92;-34.88;203.99;4.19;5.54;0.72;1
2;-96.61;48.46;8.17;97.03;48.02;-14.65;-5.02;-266.62;-8.2;15.87;39.63;28.32;-10.32;128.25;30.16;79.86;4.43;10.24;-217.86;-23.97;117.55;9.98;1.31;0.27;1
2;104.65;-67.82;6.17;204.74;100.76;0.04;-18.53;-305;-210.6;7.96;362.46;19.14;-8.71;92.92;-44.83;83.14;5.76;5.09;-192.42;-27.28;100.76;-1.06;6.69;1.99;1
2;-79;26;7.61;96.26;36.89;-9.71;-4.97;-242.06;-18.4;16.74;36.5;22.86;-10.73;103.31;40.12;78.73;5.74;9.68;-126.11;-24.81;132.25;3.95;2.47;0.93;1
2;47.61;-37.03;5.05;222.16;105.7;-4.12;-19.65;-406.65;-200.51;8.02;344.17;30.86;-8.16;123.11;-13.03;70.55;6.23;7.79;-154.06;-20.22;128.54;-1.14;6.12;1.18;1
2;-89.53;41.88;6.62;93.39;37.48;-17.58;-7.11;-221.36;1.55;23.58;40.84;30.45;-11.59;136.49;19.1;93.23;6.42;10.63;-204.18;-24.62;139.42;-1.18;0.58;0.7;1
2;84.53;-32.92;6.88;219.02;88.62;-10.65;-25.63;-361.45;-150.62;8.19;359.06;20.53;-9.13;138.66;-29.3;60;6.45;5.89;-125.77;-36.69;120.15;-1.81;6.16;0.72;1
2;-71.41;23.48;9.08;106.3;43.48;-10.99;-7.23;-255.84;-25.54;16.91;76.07;26.09;-9.86;105.79;47.77;90.18;5.11;10.87;-201.66;-25.18;153.34;11.86;2.52;0.82;1
2;50.87;-21.08;6.69;229.44;96.17;-3.08;-25.21;-339.9;-169.94;8.3;372.48;19.61;-8.68;120.48;-31.16;57.28;6.97;5.76;-210.71;-30.38;51.99;1.06;5.86;0.75;1
2;-113.38;43.51;7.16;113.65;55.76;-15.38;-9.18;-268.19;-24.29;19.98;53.07;26.97;-10.58;144.51;48.19;90.22;5.6;10.31;-187.43;-24.66;203.28;4.96;2.1;0.47;1
2;102;-56.94;6.58;222.99;90.54;-6.29;-28.53;-354.93;-169.26;10.42;376.26;20.46;-7.37;104.59;-25.43;73.74;7.13;5.63;-167.81;-27.96;146.91;5.02;6.99;1;1
2;-93.17;33.13;5.47;91.55;32.44;-9.16;-5.81;-241.31;-4.69;27.57;18.99;29.4;-11.44;104.74;33.95;89.08;7.16;10.15;-231.89;-20.44;129.41;-2.79;2.37;1.08;1
2;71.49;-32.15;6.49;224.27;92.56;-7.3;-27.35;-386.16;-159.47;8.46;360.79;24.22;-8.21;130.59;-19.4;76.07;7.63;6.53;-158.87;-28.57;149.45;-0.5;6.57;1.1;1
2;-85.09;35.6;5.84;91.82;32.76;-12.78;-8.52;-230.05;-11.98;25.1;43.13;32.51;-10.92;103.6;33.28;81.63;6.84;10.05;-223.43;-21.47;120.64;-2.06;0.69;0.4;1
