=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.07 16:55:44 =~=~=~=~=~=~=~=~=~=~=~=
f~f~xxxx~`~ff~fff`ff`~fxff`ff`f`fxf~f~fff~fxfffx~fx~`fx~fx~`fx~~fx~`fx`xx~xxxxxxfxfxxfxxxf`f1.87;-12.98;1.96;-49.39;-5.67;-131.98;20.50;0.00;19.32;5.05;151.45;0.00;-15.24;-32.45;-15.99;-148.58;-232.36;-244.28;8.97;6.72;7.03;31.20;93.00;55.71;
7.24;-9.11;-2.62;45.61;0.42;128.11;22.82;0.24;5.91;153.72;242.99;482.96;-14.39;-28.29;-11.57;-137.34;-286.67;-219.14;8.58;8.06;3.85;86.38;152.32;257.50;
1.54;-12.87;2.12;-51.39;-1.39;-131.03;21.37;-0.90;18.02;-11.18;137.50;-61.91;-12.81;-33.19;-11.82;-134.84;-191.51;-226.20;8.97;6.45;5.85;26.88;80.29;53.67;
8.09;-10.15;-1.44;41.40;-0.42;120.10;18.12;-1.22;16.38;146.96;189.46;416.76;-9.89;-33.03;-8.11;-152.04;-266.99;-218.05;6.63;8.08;5.06;86.55;126.81;217.03;
0.81;-11.80;0.78;-38.43;7.49;-127.24;20.11;-4.70;7.64;5.41;166.21;-44.60;-19.95;-25.71;-16.33;-73.72;-127.57;-218.46;10.24;4.52;5.57;26.62;72.60;43.49;
7.04;-9.80;-2.20;46.22;4.62;104.35;17.90;-1.18;11.52;215.36;294.96;466.21;-7.42;-28.44;-10.45;-166.16;-320.14;-230.69;8.02;7.92;4.37;107.68;149.61;247.64;
1.56;-12.47;0.86;-46.85;4.03;-124.62;33.74;1.37;13.20;32.75;233.08;-49.94;-11.66;-36.05;-18.30;-107.66;-331.34;-234.32;10.94;7.44;6.31;35.74;125.20;52.23;
8.63;-10.16;-2.90;56.22;-27.20;125.24;28.64;-0.78;10.66;177.16;242.07;460.98;-9.87;-28.97;-16.38;-170.66;-352.58;-237.78;8.34;7.91;4.67;102.95;179.26;243.66;
1.14;-12.18;1.56;-59.03;29.77;-125.55;14.91;-5.77;10.43;-34.10;137.33;-18.58;-11.94;-23.39;-6.18;-103.15;-66.63;-229.12;7.75;3.37;4.71;21.50;80.36;51.95;
6.27;-10.08;-1.69;46.44;14.81;91.72;21.80;1.89;12.74;155.66;284.35;418.82;-9.76;-32.06;-9.66;-120.71;-367.46;-250.78;8.66;8.77;5.19;86.00;174.65;221.52;
0.63;-12.66;0.53;-47.61;-12.66;-133.96;30.15;2.51;7.21;41.66;222.67;-35.40;-14.08;-26.68;-21.83;-125.18;-296.72;-237.47;9.87;7.03;6.84;37.32;121.51;61.83;
9.03;-7.56;-2.84;69.98;10.38;160.95;19.86;-1.04;9.42;204.74;192.35;410.95;-0.08;-28.90;-7.99;-130.33;-296.56;-197.15;6.18;5.97;3.62;92.90;135.93;198.78;
